Nom du lieu,Discipline,Offre,Avantage tarifaire / service,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Citéco - Cité de l'Économie,Musée,"Pour les abonnés Navigo et à leur accompagnateur, tarif réduit sur les collections permanentes. Pour les abonnés imagine R, tarif très réduit à 6€ sur les collections permanentes. Offre valable sur la billetterie en ligne et en billetterie physique, sur présentation d’un justificatif.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",1 Place du Général Catroux,Paris,48.88195788046292,2.310690240101099,"[255, 0, 0]"
Club de l'Étoile,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,14 Rue Troyon,Paris,48.87615844053561,2.2953697331533656,"[255, 0, 0]"
Ecoles cinéma club,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,23 Rue des Ecoles,Paris,48.84838163360664,2.3489922614240033,"[255, 0, 0]"
Epée de Bois,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,100 Rue Mouffetard,Paris,48.841281880832064,2.3495507388020167,"[255, 0, 0]"
Espace Daniel Sorano,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,16 Rue Charles Pathé,Vincennes,48.849676847263765,2.4356829849556454,"[255, 0, 0]"
Festival D'automne à Paris - 7 septembre 2023 au 30 janvier 2024,Théâtre | Danse | Musique | Centre d'art,"Aux détenteurs d’un abonnement Navigo, le Festival d’Automne propose, sur l’intégralité du programme de l’édition 2023, soit 82 manifestations dans 73 lieux de Paris et d’Île-de-France, 4 000 places à tarif réduit sur les billets plein tarif individuel, hors abonnement et tarifs spécifiques Pour toute information, se reporter au programme en ligne du festival https://www.festival-automne.com/programme",Avantage tarifaire,Tarif réduit,156 Rue de Rivoli,Paris,48.86111960996346,2.3407522653209876,"[255, 0, 0]"
Festival Rock-En-Seine - 23 au 27 août 2023,Musique,Offre à venir pour la prochaine édition du festival.,Avantage tarifaire,Tarif réduit,1 Avenue de la Grille d'Honneur,Saint-Cloud,48.83784558374058,2.2170298216975897,"[255, 0, 0]"
L’Orange Bleue,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,7 Rue Jean Mermoz,Eaubonne,48.992754754253326,2.278078560284024,"[192, 192, 192]"
La Briqueterie Cdndu Val De Marne,Danse,Boisson chaude offerte au bar,Avantage service,Service exclusif,17 Rue Robert Degert,Vitry-sur-Seine,48.80549120077984,2.3749973822073196,"[0, 255, 26]"
La Luciole,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,1 Route de Pontoise,Méry-sur-Oise,49.06045758400877,2.171194477745079,"[192, 192, 192]"
Le Cin’Hoche,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,6 Rue Hoche,Bagnolet,48.86928480214116,2.417076452979118,"[255, 0, 0]"
Le Crédac,Centre d'art,Tarif réduit à la Crédacantine (Visite de l'exposition et déjeuner),Avantage tarifaire,Tarif réduit,1 Place Pierre Gosnat,Ivry-sur-Seine,48.80934467604506,2.391028228670551,"[255, 0, 0]"
Le Forum de Vauréal,Musique,Tarif réduit pour les détenteurs du passe Navigo de 2€ soustraits au prix de la prévente pour chaque concert,Avantage tarifaire,Tarif réduit,95 Boulevard de l'Oise,Vauréal,49.03108149612531,2.021977839033422,"[255, 0, 0]"
Le Trianon,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,Place Carnot,Romainville,48.88396044441015,2.4409812301304754,"[255, 0, 0]"
Les 5 Caumartin,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,101 Rue Saint-Lazare,Paris,48.87561479368591,2.3279187656315083,"[255, 0, 0]"
Maison Caillebotte - Ville de Yerres,Musée | Jardin,Tarif Navigo culture = 10€ (Visite Maison + expo en cours) Tarif Navigo culture = 6€ (Visite Maison seule),Avantage tarifaire,Tarif réduit,60 Rue Charles de Gaulle,Yerres,48.71700977569681,2.4880484279427044,"[255, 0, 0]"
Maison Pour Tous Gérard Philipe,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,118 Rue Youri-Gagarine,Villejuif,48.78225385653411,2.3565978318578784,"[255, 0, 0]"
MC93 Maison de la culture de Seine-Saint-Denis,Théâtre | Danse,Tarif réduit de 18 € (au lieu de 25 € ou 30 €) sur une sélection de spectacles renseignée ici : https://www.mc93.com/info-pratiques/tarifs,Avantage tarifaire,Tarif réduit,9 Boulevard Lénine,Bobigny,48.90715112120444,2.442404919042948,"[255, 0, 0]"
Mémorial de la Shoah,Musée,Visite guidée gratuite le dimanche après-midi. Réduction de 5% à la librairie,Avantage tarifaire,Tarif réduit,17 Rue Geoffroy l’Asnier,Paris,48.85490443199694,2.356287658412573,"[255, 0, 0]"
Musée D'art Et D'histoire Louis Senlecq - L’Isle Adam,Musée,Entrée gratuite,Avantage tarifaire,Gratuité,31 Grande Rue,L'Isle-Adam,49.112532639391674,2.2159744782408346,"[255, 0, 0]"
Musée D'art Et D'histoire Paul Eluard - Saint Denis,Musée,"Tarif réduit et offres ponctuelles sur les évènements, visites, rencontres, coupe files",Avantage tarifaire et service,"Tarif réduit,Rencontre d'artistes",22 bis Rue Gabriel Péri,Saint-Denis,48.93242251062107,2.3562443493668854,"[0, 9, 255]"
Musée de la Batellerie,Musée,"Tarif réduit de 4,50€ au lieu de 5€, Tarif minima sociaux à 2,70€ au lieu de 3€, tarif -18 ans et scolaires à 1,80€ au lieu de 2€, Tarif réduit Conflanais à 1,35€ au lieu de 1,50€",Avantage tarifaire,Tarif réduit,3 Place Jules Gévelot,Conflans-Sainte-Honorine,48.99254650193102,2.095791639479827,"[255, 0, 0]"
Musée De La Grande Guerre,Musée,Tarif réduit pour les abonnés Navigo concernés. Offre valable en billetterie physique et en ligne.,Avantage tarifaire,Tarif réduit,Rue Lazare Ponticelli,Meaux,48.971432,2.904724,"[255, 0, 0]"
Musée De La Toile De Jouy,Musée,Entrée tarif plein 9€ / tarif réduit 7€,Avantage tarifaire,Tarif réduit,54 Rue Charles de Gaulle,Jouy-en-Josas,48.769017733868104,2.1516677062167386,"[255, 0, 0]"
Musée De L'armée,Musée,Tarif réduit,Avantage tarifaire,Tarif réduit,129 Rue de Grenelle,Paris,48.85579792660356,2.3126005258098985,"[255, 0, 0]"
Musée Départemental De La Préhistoire En Ile-De-France,Musée,Meilleurs tarifs sur les visites et évènements temporaires,Avantage tarifaire,Tarif réduit,48 Avenue Etienne Dailly,Nemours,48.2611266875304,2.713727395704612,"[255, 0, 0]"
Musée Du Chocolat Choco Story,Musée,"10€ au lieu de 12€ et 8,50€ au lieu de 10€ pour les jeunes et étudiants",Avantage tarifaire,Tarif réduit,28 Boulevard de Bonne Nouvelle,Paris,48.870577,2.350077,"[255, 0, 0]"
Nouveau Théâtre De Montreuil,Théâtre | Danse | Musique | Cirque,Tarif réduit,Avantage tarifaire,Tarif réduit,10 Place Jean Jaurès,Montreuil,48.8618068157649,2.4434701847649585,"[255, 0, 0]"
Nouvel Odéon,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,6 Rue de l'École de Médecine,Paris,48.850766813388375,2.341801675832266,"[255, 0, 0]"
Opéra Massy,Musique,Tarif réduit sur tous les spectacles voir conditions sur programme,Avantage tarifaire,Tarif réduit,1 Place de France,Massy,48.732047748298946,2.2893190431007633,"[255, 0, 0]"
PanoraMagique à Disneyland Paris,Expérience,Moins 2€ sur les billets adultes (12 ans et plus) soit 13 € au lieu de 15€ ttc,Avantage tarifaire,Tarif réduit,Disney Village,Chessy,48.86904268769647,2.7866621059274874,"[255, 0, 0]"
Salle Jacques Berrier,Théâtre | Musique | Danse,Gratuité sur les spectacles et projections publiques. Rencontres privilégiées avec les artistes après les spectacles.,Avantage tarifaire et service,"Gratuité,Rencontre d'artistes",Rue Pierre Brossolette,Sarcelles,48.99457,2.37874,"[0, 9, 255]"
Salon Du Livre Et De La Jeunesse,Expérience,Lors d'achat d'un billet salon durant le weekend un 2ème billet gratuit,Avantage tarifaire,1 place achetée = 1 place offerte,3 Rue François Debergue,Montreuil,48.856300459008125,2.425684217625983,"[255, 0, 0]"
Sèvres Céramique - Manufacture Et Musées Nationaux,Musée,Gratuité sur les collections permanentes du musée hors période temporaire et tarif réduit en période d'expo temporaire,Avantage tarifaire,"Tarif réduit,Gratuité",2 Place de la Manufacture,Sèvres,48.828741429529806,2.223185593662091,"[255, 0, 0]"
Théâtre D’Epinay-Sous-Senart - Sothevy,Théâtre | Musique | Danse,Tarif réduit valable sur tous les spectacles hors variétés et humour en tarif agglo,Avantage tarifaire,Tarif réduit,12 Rue de Rocheau,Epinay-Sous-Senart,48.694372902761124,2.5173687753131824,"[255, 0, 0]"
Théâtre De Châtillon,Théâtre | Musique | Danse,Tarif réduit 14€ et 14€ pour l'accompagnant offres tarifaire sur service spécifiques,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",3 Rue Sadi Carnot,Châtillon,48.800155996078075,2.288415965357134,"[255, 0, 0]"
Théâtre de Jouy,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Avantage tarifaire,Inconnu,96 Avenue des Bruzacques,Jouy-le-Moutier,49.010846962048014,2.0433068122773705,"[255, 0, 0]"
Théâtre De La Tempête,Théâtre,"Tarif réduit 17€ au lieu de 22€, même tarif pour l'accompagnateur",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",Route du Champ de Manœuvre,Paris,48.8346958,2.4492915,"[255, 0, 0]"
Théâtre De Sartrouville,Théâtre | Musique | Danse,"Tarif réduit 19€ pour adultes et 8€ pour les 12 à 26 ans accompagnant même tarif, offre promo sur spectacle spécifiques",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",Place Jacques Brel,Sartrouville,48.94053751068156,2.193296334519625,"[255, 0, 0]"
Théâtre Sarah Bernhardt,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,82 Boulevard Paul Vaillant Couturier,Goussainville,49.03229556443547,2.4719728749574337,"[192, 192, 192]"
La Mandapa,Théâtre,"Accès au tarif réduit du même niveau que celui proposé aux demandeurs d'emploi, étudiants, retraités, habitants du 13ème. Réservation et règlement en ligne sur le site de l’établissement.",Avantage tarifaire,Tarif réduit,6 rue Wurtz,Paris,48.82757,2.34513,"[255, 0, 0]"
Théâtre de l'Opprimé,Théâtre | Musique,Les abonnés Navigo bénéficient du tarif réduit sur tous spectacles. Réservation uniquement au guichet (qui ouvre 40 minutes avant le début du spectacle) et sur présentation d’un abonnement Navigo valide.,Avantage tarifaire,Tarif réduit,78/80 rue du Charolais,Paris,48.841957092285156,2.3851022720336914,"[255, 0, 0]"
La Fab,Centre d'art,"Le billet plein tarif à 7€ est réduit à 4€ pour les abonnés Navigo. Entrée gratuite pour les abonnés concernés par le tarif réduit (voir conditions sur le site de La Fab). Si l'abonné Navigo possède déjà la gratuité grâce à son statut, l'offre de réduction s'applique à son accompagnant. Offre valable en billetterie sur présentation d'un justificatif Navigo.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",Place Jean-Michel Basquiat,Paris,48.831385118682,2.375070214194,"[255, 0, 0]"
4 Delta,Cinéma,Tarif réduit sur les séances du Festival Ciné-Junior (2-15 février) et tarif reduit sur les autres séances,Avantage tarifaire,Tarif réduit,81 ter Avenue du Bac,Saint Maur La Varenne,48.79344444504156,2.5149074963191063,"[255, 0, 0]"
Bibliothèque nationale de France,Musée,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,Quai François Mauriac,Paris,48.83358793110102,2.3757712631042387,"[255, 0, 0]"
Centre Culturel Wladimir d’Ormesson,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,14 Avenue Wladimir d’Ormesson,Ormesson-sur-Marne,48.78665946233091,2.544596032373128,"[255, 0, 0]"
Centre des Arts,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,12-16 Rue de la Libération,Enghien-les-Bains,48.97222503274855,2.30554097131178,"[192, 192, 192]"
Chapelle Expiatoire - Centre des Monuments Nationaux (CMN),Patrimoine,Tarif spécial sur billet simple,Avantage tarifaire,Tarif réduit,29 Rue Pasquier,Paris,48.873749968302626,2.3232878101350183,"[255, 0, 0]"
Chaplin - Saint-Lambert,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,6  Rue Péclet,Paris,48.84308606061797,2.2985672631044256,"[255, 0, 0]"
Château de Breteuil,Patrimoine | Jardin,Tarif réduit pour l'entrée au Parc ou entrée Parc et visite château,Avantage tarifaire,Tarif réduit,Choisel,Choisel,48.679989791041365,2.023091982122897,"[255, 0, 0]"
Cinéma Agnès Varda,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,37 Grande Rue,Juvisy-sur-Orge,48.69058624070148,2.374678787056462,"[255, 0, 0]"
Cinéma du Panthéon,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,13 Rue Victor Cousin,Paris,48.847435404587216,2.342255620760104,"[255, 0, 0]"
Cinéma Henri Langlois,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,32 bis Rue de la Station,Franconville,48.98634374000324,2.2312534588084842,"[192, 192, 192]"
Cinéma intercommunal de l’Ysieux,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,8 Place de la Liberté,Fosses,49.10060288263444,2.5246242991575656,"[192, 192, 192]"
Cinéma Jacques Prévert,Cinéma,"Tarif à 2,50€ sur les séances événementielles identifiées.",Avantage tarifaire,Tarif réduit,Place Aimé Césaire,Gonesse,49.00230297856589,2.423215604370295,"[255, 0, 0]"
Cinéma la Lucarne,Cinéma,Offre de place tarifs réduits salles adhérentes,Avantage tarifaire,Tarif réduit,100 Rue Juliette Savar,Créteil,48.777525000223505,2.46634551401259,"[255, 0, 0]"
Cinéma Le Calypso,Cinéma,"Tarif réduit sur les billets à l'unité cinéma; conférences ALTAIR; les retransmissions Opéra, Ballet, concert, théâtre",Avantage tarifaire,Tarif réduit,38 Rue Victor Basch,Viry-Châtillon,48.68190329229816,2.379247559414062,"[255, 0, 0]"
Cinéma Le Parterre,Cinéma,Offre ponctuelle et tarif réduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,Place de l’hôtel de ville,Dourdan,48.529651843118074,2.0171860214781123,"[255, 0, 0]"
Cinéma Royal Palace,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,165 Grande Rue Charles de Gaulle,Nogent-sur-Marne,48.838357232844956,2.489433253399152,"[255, 0, 0]"
Cinéma Studio 28,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,10 Rue Tholozé,Paris,48.88615517183761,2.3353649946887325,"[255, 0, 0]"
Cinéma Utopia,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Avantage tarifaire,Inconnu,1 Place Pierre Mendès Franc,Saint-Ouen-l'Aumône,49.043608686648675,2.106946618526332,"[255, 0, 0]"
Domaine de Dampierre-en-Yvelines,Patrimoine | Jardin,Tarif réduit,Avantage tarifaire,Tarif réduit,2 Grande Rue,Dampierre en Yvelines,48.70483,1.98811,"[255, 0, 0]"
Espace Culturel André Malraux (ECAM) - Théâtre Du Kremlin-Bicêtre,Théâtre | Danse | Cirque,"Tarif réduit de 9€ sur les spectacles, 15€ sur spectacles à tarif exceptionnel et 8€ sur spectacles famille",Avantage tarifaire,Tarif réduit,2 Place Victor Hugo,Le Kremlin-Bicêtre,48.808837,2.360414,"[255, 0, 0]"
France Miniature,Expérience,"Réduction de 20% sur le billet d’entrée aux caisses du parc France Miniature pour les abonnés Navigo + 1 accompagnateur. Offre valable sur présentation d’un passe Navigo valide aux caisses du parc France Miniature, jusqu’au 5 novembre 2023 selon calendrier d’ouverture. Non échangeable, non remboursable et non cumulable avec toute promotion ou tarif préférentiel. D37",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",25 Route du Mesnil,Élancourt,48.775617707555625,1.9601338822077363,"[255, 0, 0]"
Grand Action,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,5 Rue des Ecoles,Paris,48.84753729803985,2.3521446554837095,"[255, 0, 0]"
La Colline Théâtre,Théâtre,"Tous les trois mois, La Colline propose aux détenteurs d'un passe Navigo de bénéficier en duo d'un tarif préférentiel pour assister à un spectacle de la saison : 20 € la place et 10 € pour les moins de 30 ans. .Offre valable pour l'achat de 2 billets aux dates indiquées",Avantage tarifaire,Tarif réduit,15 Rue Malte Brun,Paris,48.864599654044184,2.397573870300207,"[255, 0, 0]"
Le Balzac,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,1 Rue Balzac,Paris,48.87295047549214,2.2998705242998905,"[255, 0, 0]"
Le Lincoln,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,14 Rue Lincoln,Paris,48.870513903224605,2.303156741758147,"[255, 0, 0]"
Le Livre-Echange,Livre,Gratuité sur les actions culturelles publiques du Livre-Échange. Rencontres privilégiées avec des auteurs et professionnels des métiers du livre,Avantage tarifaire et service,"Gratuité,Rencontre d'artistes",72 Rue Pierre Brossolette,Sarcelles,48.99313,2.37694,"[0, 9, 255]"
Le Plus Petit Cirque du Monde,Cirque,Le Plus Petit Cirque du Monde offre un tarif réduit de 10€,Avantage tarifaire,Tarif réduit,1 Impasse de la Renardière,Bagneux,48.78809773897812,2.3023430921630483,"[255, 0, 0]"
Le Saint André des Arts,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,30 Rue Saint-André des Arts,Paris,48.85337977106268,2.342062598062399,"[255, 0, 0]"
Les 3 Cinés Robespierre,Cinéma,Tarif réduit sur certaines séances dans le cadre du festival Ciné Junior (2-15 février). Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,19 Avenue Maximilien Robespierre,Vitry-sur-Seine,48.79106991034085,2.3882362651350255,"[255, 0, 0]"
Mac Créteil,Danse | Théâtre,Tarif réduit de 12€ et gratuit pour accompagnant,Avantage tarifaire,Tarif réduit,Place Salvador Allende,Créteil,48.776933604967226,2.4548637707384713,"[255, 0, 0]"
Mac Val,Musée,4€ grille tarifaire en vigueur,Avantage tarifaire,Tarif réduit,Place de la Libération,Vitry-sur-Seine,48.79297537280029,2.3873800357869586,"[255, 0, 0]"
Maison Auguste Comte,Musée,Tarif réduit de 2€ a l'entrée,Avantage tarifaire,Tarif réduit,10 Rue Monsieur le Prince,Paris,48.851050472345875,2.3393996216439477,"[255, 0, 0]"
Maison De Fer Ville De Poissy,Musée,Tarif réduit,Avantage tarifaire,Tarif réduit,2 ter Allée des Glaïeuls,Poissy,48.92631282137604,2.0322547473676305,"[255, 0, 0]"
Max Linder Panorama,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,24 Boulevard Poissonniere,Paris,48.87138777125083,2.344849887901363,"[255, 0, 0]"
Musée De La Gendarmerie,Musée,Tarif réduit 5€ et cercle 5€ services specifique et visites,Avantage tarifaire,Tarif réduit,1-3 Rue Emile Leclerc,Melun,48.54532229858583,2.6531343940512397,"[255, 0, 0]"
Musée du quai Branly – Jacques Chirac,Musée,Navigo : tarif réduit sur les pass annuels et les audioguides. Pass Solo : 30 € au lieu de 35 €. Pass Duo : 50 € au lieu de 60 €. Audioguide : 3 € au lieu de 5 €. Carte ImaginR : gratuité pour le porteur de la carte (-26 ans) + tarif réduit accordé sur le billet d’entrée (9 € au lieu de 12 €) pour un accompagnateur. Sur présentation d’un justificatif de validité.,Avantage tarifaire,"Abonnement à tarif réduit,Tarif réduit accompagnant",37 Quai Jacques Chirac,Paris,48.861173438905375,2.2955042953234366,"[255, 0, 0]"
Musée En Herbe,Musée,Tarif réduit uniquement aux détenteurs de imagine R Etudiant gratuit pour l'accompagnant,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",23 Rue de l'Arbre Sec,Paris,48.86015497794567,2.342149143670105,"[255, 0, 0]"
Musée Fournaise,Musée,Tarif réduit de 7€ au lieu de 9€,Avantage tarifaire,Tarif réduit,3 Rue du Bac,Chatou,48.889583,2.163027,"[255, 0, 0]"
Parti Poétique,Centre d'art,Tarif réduit sur visites guidées les samedis à partir du 22 mai jusqu'en octobre : 5€,Avantage tarifaire,Tarif réduit,112 Avenue de Stalingrad,Saint-Denis,48.9472776927154,2.3732600596252005,"[255, 0, 0]"
Théâtre - Cinéma du Garde-Chasse,Théâtre | Musique | Danse,Accès au tarif super réduit de 9€ sur une sélection de spectacles de la saison. Informations et réservation au 01 43 60 41 89,Avantage tarifaire,Tarif réduit,181 bis Rue de Paris,Les Lilas,48.881676046495,2.4198259883943436,"[255, 0, 0]"
Théâtre André Malraux,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,1 bis Rue Guillemeteau,Gagny,48.88405386158545,2.5298167480678955,"[255, 0, 0]"
Théâtre De Boussy-Saint-Antoine- Salle Gérard Philippe - Sothevy,Théâtre | Musique | Danse,Tarif réduit valable sur tous les spectacles hors variétés et humour en tarif agglo,Avantage tarifaire,Tarif réduit,Cours Neuenhaus,Boussy-Saint-Antoine,48.68944309916194,2.5283113378635025,"[255, 0, 0]"
Théatre de la Cité internationale,Théâtre | Musique | Danse,Tatif réduit à 16€ sur l'ensemble de la saison pour les détenteurs du Navigo,Avantage tarifaire,Tarif réduit,21 Boulevard Jourdan,Paris,48.819263454735584,2.3384569564546043,"[255, 0, 0]"
Théâtre De Longjumeau,Théâtre | Musique | Danse,Tarif réduit sur tous les spectacles hors variétés et humour réservés au tarif ville voir programme,Avantage tarifaire,Tarif réduit,20 Avenue du Général de Gaulle,Longjumeau,48.69555390754713,2.2989306220878567,"[255, 0, 0]"
Théâtre de Saint Quentin en Yvelines,Théâtre | Musique | Danse,Tarifs réduits,Avantage tarifaire,Tarif réduit,3 Place Georges Pompidou,Montigny-le-Bretonneux,48.78341524946491,2.0424694793440925,"[255, 0, 0]"
Théâtre De Suresnes Jean Vilar,Théâtre | Musique | Danse,"Tarif réduit ouvert aux abonnés Navigo sur une sélection de spectacle : https://linktr.ee/avantages_culture_Navigo 
Pour les spectacles au tarif A, 25€ au lieu de 30€, pour les spectacles au tarif B, 20€ au lieu de 25€. Pour les - 28 ans, tarif réduit à 10€ pour les spectacles au tarif A et tarif B.
Offre dans la limite des places disponibles. Réservation sur place ou par téléphone au 01 46 97 98 10 du mardi au samedi de 13h à 18h sur présentation du passe Navigo en cours de validité.",Avantage tarifaire,Tarif réduit,16 Place Stalingrad,Suresnes,48.863279234671936,2.202241041985166,"[255, 0, 0]"
Théâtre De Verdure Mel Bonis,Théâtre | Musique | Danse,Gratuité sur les spectacles et manifestations publiques. Rencontres privilégiées avec les artistes du Festival des Jardins d’Été et professionnels des métiers du spectacle.,Avantage tarifaire et service,"Gratuité,Rencontre d'artistes",1 Rue des Pilliers,Sarcelles,48.99488,2.37861,"[0, 9, 255]"
Théâtre Des Sources,Théâtre | Musique | Danse,Tarif réduit hors abo et offre à tarif réduit pour l'accompagnant,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",8 Avenue Jeanne et Maurice Dolivet,Fontenay-aux-Roses,48.79151229236207,2.289832396708443,"[255, 0, 0]"
Théâtre Dunois,Théâtre | Musique | Danse,"Tarif réduit  10€ pour les +25 ans et 7,50€ pour les 15 à 25 ans sur certains spectacles",Avantage tarifaire,Tarif réduit,7 Rue Louise Weiss,Paris,48.833154247827714,2.3705585941073504,"[255, 0, 0]"
Théâtre Gerard Philipe (Saint-Denis) Cdn,Théâtre | Musique | Danse,Tarif réduit 17€ au lieu de 23€ même tarif accompagnant et offres ponctuelles sur des évènements dédiés,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",59 Boulevard Jules Guesde,Saint-Denis,48.93827262694061,2.3503429008330965,"[255, 0, 0]"
Théâtre L'azimut,Théâtre | Musique | Danse | Cirque,Tarif réduit 10€ et Cercle 15€,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",254 Avenue de la Division Leclerc,Châtenay-Malabry,48.76452497420125,2.2688913492560703,"[255, 0, 0]"
Théâtre Mogador,Théâtre | Musique | Danse,"réduction de 10%  les mardis, mercredis et jeudis sur la base du tarif public revendeurs",Avantage tarifaire,Tarif réduit,25 Rue de Mogador,Paris,48.87541,2.33121,"[255, 0, 0]"
Théâtre Pierre Fresnay,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,3 Rue Saint-Flaive,Ermont,48.99066658963697,2.261144912042963,"[192, 192, 192]"
Théâtre Romain Rolland,Théâtre | Musique | Danse,"Tarif de l'abonnement Classique sur l'ensemble des spectacles (hors spectacles exceptionnels) : Tarif plein : 15,50€, Tarif réduit* : 13,50€, Tarif mini* : 10€ Réservation possible uniquement sur place ou par téléphone. Tarif réduit : seniors (+60 ans), familles nombreuses, abonnés théâtres amis. Tarif mini : -26 ans, demandeurs d'emploi, étudiants, titulaires d'une carte d'invalidité, bénéficiaires du RSA, intermittents du spectacle.""",Avantage tarifaire,Tarif réduit,18 Rue Eugène Varlin,Villejuif,48.793542539070515,2.363067428100427,"[255, 0, 0]"
Institut des Cultures d'Islam,Centre d'art,Les abonnés Navigo bénéficient d’une visite guidée gratuite et exclusive de chaque exposition de l’ICI,Avantage service,Visite guidée gratuite,56 Rue Stephenson,Paris,48.88854414848145,2.3563171401993794,"[0, 255, 26]"
